Number of highly composite numbers less than 1000000000000000000 is 156

number                   divisors         factorization
1                        1                
2                        2                2
4                        3                2^2
6                        4                2*3
12                       6                2^2*3
24                       8                2^3*3
36                       9                2^2*3^2
48                       10               2^4*3
60                       12               2^2*3*5
840                      32               2^3*3*5*7
7560                     64               2^3*3^3*5*7
83160                    128              2^3*3^3*5*7*11
720720                   240              2^4*3^2*5*7*11*13
8648640                  448              2^6*3^3*5*7*11*13
73513440                 768              2^5*3^3*5*7*11*13*17
735134400                1344             2^6*3^3*5^2*7*11*13*17
6983776800               2304             2^5*3^3*5^2*7*11*13*17*19
97772875200              4032             2^6*3^3*5^2*7^2*11*13*17*19
963761198400             6720             2^6*3^4*5^2*7*11*13*17*19*23
9316358251200            10752            2^6*3^3*5^2*7*11*13*17*19*23*29
97821761637600           17280            2^5*3^4*5^2*7^2*11*13*17*19*23*29
866421317361600          26880            2^6*3^4*5^2*7*11*13*17*19*23*29*31
8086598962041600         41472            2^8*3^3*5^2*7^2*11*13*17*19*23*29*31
90974238322968000        64512            2^6*3^5*5^3*7^2*11*13*17*19*23*29*31
800573297242118400       93312            2^8*3^5*5^2*7^2*11^2*13*17*19*23*29*31
